"V1" "V2"
"tr_5_pm_1_26.fasta" "360"
"tr_5_pm_1_27.fasta" "369"
"tr_5_pm_1_28.fasta" "397"
"tr_5_pm_1_29.fasta" "362"
"tr_5_pm_1_30.fasta" "369"
"tr_5_pm_1_31.fasta" "380"
"tr_5_pm_1_32.fasta" "377"
"tr_5_pm_1_33.fasta" "368"
"tr_5_pm_1_34.fasta" "382"
"tr_5_pm_1_35.fasta" "365"
"tr_5_pm_1_36.fasta" "374"
"tr_5_pm_1_37.fasta" "351"
"tr_5_pm_1_38.fasta" "357"
"tr_5_pm_1_39.fasta" "372"
"tr_5_pm_1_40.fasta" "374"
"tr_5_pm_2_1.fasta" "593"
"tr_5_pm_2_2.fasta" "581"
"tr_5_pm_2_3.fasta" "606"
"tr_5_pm_2_4.fasta" "615"
"tr_5_pm_2_5.fasta" "597"
"tr_5_pm_2_6.fasta" "606"
"tr_5_pm_2_7.fasta" "592"
"tr_5_pm_2_8.fasta" "620"
"tr_5_pm_2_9.fasta" "582"
"tr_5_pm_2_10.fasta" "593"
"tr_5_pm_2_11.fasta" "587"
"tr_5_pm_2_12.fasta" "598"
"tr_5_pm_2_13.fasta" "613"
"tr_5_pm_2_14.fasta" "610"
"tr_5_pm_2_15.fasta" "611"
"tr_5_pm_2_16.fasta" "591"
"tr_5_pm_2_17.fasta" "601"
"tr_5_pm_2_18.fasta" "588"
"tr_5_pm_2_19.fasta" "577"
"tr_5_pm_2_20.fasta" "629"
"tr_5_pm_2_21.fasta" "582"
"tr_5_pm_2_22.fasta" "618"
"tr_5_pm_2_23.fasta" "589"
"tr_5_pm_2_24.fasta" "580"
"tr_5_pm_2_25.fasta" "574"
"tr_5_pm_2_26.fasta" "615"
"tr_5_pm_2_27.fasta" "587"
"tr_5_pm_2_28.fasta" "585"
"tr_5_pm_2_29.fasta" "608"
"tr_5_pm_2_30.fasta" "621"
"tr_5_pm_3_1.fasta" "827"
"tr_5_pm_3_2.fasta" "836"
"tr_5_pm_3_3.fasta" "827"
"tr_5_pm_3_4.fasta" "833"
"tr_5_pm_3_5.fasta" "842"
"tr_5_pm_3_6.fasta" "842"
"tr_5_pm_3_7.fasta" "828"
"tr_5_pm_3_8.fasta" "840"
"tr_5_pm_3_9.fasta" "841"
"tr_5_pm_3_10.fasta" "852"
"tr_5_pm_3_11.fasta" "844"
"tr_5_pm_3_12.fasta" "807"
"tr_5_pm_3_13.fasta" "844"
"tr_5_pm_3_14.fasta" "843"
"tr_5_pm_3_15.fasta" "813"
"tr_5_pm_3_16.fasta" "837"
"tr_5_pm_3_17.fasta" "829"
"tr_5_pm_3_18.fasta" "820"
"tr_5_pm_3_19.fasta" "841"
"tr_5_pm_3_20.fasta" "839"
